rank,country,happiness_score,gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption_perception,total_cases_apr30,peak_daily_new_cases,avg_daily_growth_rate,days_to_100_cases,cases_log,institutional_trust_index,social_resilience_index,economic_wellbeing_index,happiness_tier,gdp_per_capita_scaled,social_support_scaled,healthy_life_expectancy_scaled,freedom_scaled,generosity_scaled,corruption_perception_scaled,institutional_trust_index_scaled,social_resilience_index_scaled
55,Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,1689.0,134.0,0.07507559401936484,52.0,7.432483807917119,0.328,1.201,1.237,High (5.5–6.5),0.734560570071259,0.940886699507389,0.7422779922779923,0.7844690966719493,0.18197879858657243,0.3554083885209713,0.641260162601626,0.9025540275049115
56,Jamaica,5.89,0.831,1.478,0.831,0.49,0.107,0.028,422.0,52.0,0.06108456746511391,84.0,6.0473721790462776,0.259,1.1545,0.831,High (5.5–6.5),0.49346793349168644,0.9100985221674875,0.7007722007722007,0.7765451664025357,0.18904593639575973,0.06181015452538631,0.5010162601626016,0.8660117878192534
57,Mauritius,5.888,1.12,1.402,0.798,0.498,0.215,0.06,334.0,41.0,0.058728591230556224,66.0,5.814130531825066,0.279,1.1,1.12,High (5.5–6.5),0.665083135391924,0.8633004926108373,0.668918918918919,0.7892234548335975,0.3798586572438163,0.1324503311258278,0.5416666666666666,0.8231827111984282
58,Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.14,14153.0,1161.0,0.08544586121179412,30.0,9.55775254863573,0.2925,1.2535,1.327,High (5.5–6.5),0.7880047505938241,0.8737684729064038,0.948841698841699,0.705229793977813,0.12190812720848059,0.30905077262693154,0.5691056910569104,0.9438113948919449
59,Honduras,5.86,0.642,1.236,0.828,0.507,0.246,0.078,771.0,72.0,0.06716146010126037,67.0,6.648984550024776,0.2925,1.032,0.642,High (5.5–6.5),0.3812351543942993,0.7610837438423644,0.6978764478764479,0.803486529318542,0.4346289752650177,0.17218543046357615,0.5691056910569104,0.7697445972495087
60,Kazakhstan,5.809,1.173,1.508,0.729,0.41,0.146,0.096,3402.0,264.0,0.08214558257071622,64.0,8.132412674500905,0.253,1.1185,1.173,High (5.5–6.5),0.6965558194774347,0.9285714285714285,0.6023166023166023,0.6497622820919176,0.2579505300353357,0.21192052980132448,0.48882113821138207,0.8377210216110019
61,Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,1110.0,104.0,0.07083854332969323,69.0,7.01301578963963,0.2875,0.9575,0.776,High (5.5–6.5),0.46080760095011875,0.7444581280788177,0.5801158301158301,0.809825673534073,0.24204946996466434,0.14128035320088297,0.5589430894308942,0.7111984282907662
62,Hungary,5.758,1.201,1.41,0.828,0.199,0.081,0.02,2775.0,210.0,0.08008854870329996,59.0,7.9287663216266955,0.1095,1.119,1.201,High (5.5–6.5),0.7131828978622328,0.8682266009852215,0.6978764478764479,0.31537242472266247,0.14310954063604242,0.044150110375275935,0.19715447154471544,0.8381139489194498
63,Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.08,266.0,27.0,0.056436855135356054,74.0,5.58724865840025,0.297,1.1260000000000001,0.855,High (5.5–6.5),0.5077197149643705,0.9082512315270935,0.6486486486486487,0.8145800316957211,0.3250883392226149,0.17660044150110374,0.5782520325203251,0.843614931237721
65,Peru,5.697,0.96,1.274,0.854,0.455,0.083,0.027,36976.0,3683.0,0.10624294319917087,55.0,10.518051376717915,0.24100000000000002,1.064,0.96,High (5.5–6.5),0.5700712589073634,0.7844827586206896,0.7229729729729729,0.7210776545166403,0.14664310954063606,0.05960264900662251,0.4644308943089431,0.7948919449901768
66,Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,25045.0,1516.0,0.10230777184973716,51.0,10.128469413123979,0.2665,1.215,1.221,High (5.5–6.5),0.7250593824228029,0.8811576354679802,0.8629343629343629,0.8050713153724247,0.08303886925795054,0.05518763796909492,0.516260162601626,0.9135559921414538
67,Pakistan,5.653,0.677,0.886,0.535,0.313,0.22,0.098,16817.0,1292.0,0.0982848991958873,54.0,9.730205020392843,0.20550000000000002,0.7105,0.677,High (5.5–6.5),0.4020190023752969,0.5455665024630542,0.4150579150579151,0.4960380348652932,0.3886925795053004,0.2163355408388521,0.39227642276422764,0.5170923379174852
68,Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,106498.0,7099.0,0.11692819065066841,55.0,11.575890874416173,0.1825,1.089,1.183,High (5.5–6.5),0.7024940617577197,0.8940886699507388,0.5994208494208494,0.5293185419968305,0.14487632508833923,0.06843267108167769,0.3455284552845528,0.8145383104125735
69,Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,8488.0,538.0,0.09137905542159563,52.0,9.046526486737967,0.3325,0.975,0.807,High (5.5–6.5),0.47921615201900236,0.7961822660098521,0.5328185328185329,0.8843106180665611,0.20671378091872794,0.23620309050772623,0.6504065040650406,0.7249508840864439
70,Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,9009.0,2379.0,0.0919807106121453,57.0,9.106090350602384,0.16049999999999998,1.1185,1.004,High (5.5–6.5),0.5961995249406176,0.8516009852216747,0.7229729729729729,0.44690966719492864,0.24204946996466434,0.08609271523178808,0.3008130081300812,0.8377210216110019
71,Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.0,3897.0,222.0,0.0835173624249243,61.0,8.268218880067506,0.1225,1.0335,0.685,High (5.5–6.5),0.40676959619952496,0.8177339901477831,0.611969111969112,0.38827258320126784,0.3197879858657244,0.0,0.22357723577235766,0.7709233791748527
72,Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,61.0,13.0,0.041688226111566584,,4.127134385045092,0.284,0.988,1.044,High (5.5–6.5),0.6199524940617577,0.8023399014778324,0.5482625482625483,0.659270998415214,0.23498233215547706,0.33554083885209707,0.5518292682926829,0.7351669941060903
73,Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.08,322.0,30.0,0.05836012447699653,69.0,5.777652323222656,0.1385,1.116,1.051,High (5.5–6.5),0.6241092636579572,0.8380541871921181,0.7393822393822393,0.312202852614897,0.2508833922261484,0.17660044150110374,0.25609756097560976,0.8357563850687623
74,Tajikistan,5.467,0.493,1.098,0.718,0.389,0.23,0.144,15.0,15.0,0.02800594668929072,,2.772588722239781,0.2665,0.908,0.493,Medium (4.5–5.5),0.29275534441805223,0.6761083743842364,0.5916988416988417,0.6164817749603804,0.4063604240282686,0.3178807947019867,0.516260162601626,0.6722986247544204
75,Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,2076.0,96.0,0.07715838205935467,57.0,7.638679823876112,0.159,1.09,1.155,Medium (4.5–5.5),0.6858669833729216,0.7795566502463053,0.7808880308880309,0.46909667194928684,0.21024734982332155,0.04856512141280352,0.2977642276422764,0.8153241650294695
77,Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,6972.0,371.0,0.08939192754768698,59.0,8.84980082722101,0.299,1.09,1.015,Medium (4.5–5.5),0.6027315914489311,0.8626847290640393,0.6505791505791506,0.7876386687797148,0.19964664310954067,0.22295805739514346,0.5823170731707317,0.8153241650294695
78,Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,1757.0,92.0,0.07547406139641538,60.0,7.471932078245122,0.109,1.0285,0.945,Medium (4.5–5.5),0.5611638954869358,0.7463054187192117,0.7142857142857143,0.3359746434231379,0.46466431095406363,0.01324503311258278,0.1961382113821138,0.7669941060903731
79,Turkey,5.373,1.183,1.36,0.808,0.195,0.083,0.106,120204.0,5138.0,0.11815104947026131,57.0,11.69695389755587,0.1505,1.084,1.183,Medium (4.5–5.5),0.7024940617577197,0.8374384236453202,0.6785714285714286,0.3090332805071316,0.14664310954063606,0.23399558498896245,0.28048780487804875,0.8106090373280942
80,Malaysia,5.339,1.221,1.171,0.828,0.508,0.26,0.024,6002.0,235.0,0.08787893558840244,47.0,8.700014623251842,0.266,0.9995,1.221,Medium (4.5–5.5),0.7250593824228029,0.7210591133004925,0.6978764478764479,0.8050713153724247,0.4593639575971732,0.05298013245033112,0.5152439024390244,0.7442043222003929
81,Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,14027.0,1485.0,0.09645263243697039,68.0,9.548810611260068,0.1885,1.127,1.067,Medium (4.5–5.5),0.6336104513064132,0.9020935960591132,0.6602316602316602,0.37242472266244053,0.16607773851590107,0.3134657836644591,0.3577235772357723,0.8444007858546168
82,Greece,5.287,1.181,1.156,0.999,0.067,0.0,0.034,2591.0,156.0,0.079395808661335,51.0,7.860185057472165,0.0505,1.0775,1.181,Medium (4.5–5.5),0.7013064133016628,0.711822660098522,0.8629343629343629,0.10618066561014264,0.0,0.07505518763796909,0.07723577235772357,0.8055009823182709
83,Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,38.0,13.0,0.03700567319322875,,3.6635616461296463,0.1775,1.099,0.948,Medium (4.5–5.5),0.5629453681710214,0.942733990147783,0.5424710424710425,0.5023771790808241,0.41519434628975266,0.08388520971302427,0.33536585365853655,0.8223968565815323
84,North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,1465.0,107.0,0.07363932204491512,60.0,7.290292882446597,0.1895,1.066,0.983,Medium (4.5–5.5),0.583729216152019,0.7967980295566501,0.7075289575289575,0.5467511885895404,0.32685512367491165,0.07505518763796909,0.3597560975609756,0.7964636542239685
